"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"158";"T43";3000;NA;300;2700;3000;NA;NA;NA;NA;300;NA;2700;NA;NA
"159";"T43-C-1";6032,5;NA;1437,5;4595;5707,5;200;125;NA;200;1112,5;NA;4595;NA;125
"160";"T44";14062,5;NA;NA;14062,5;13812,5;250;NA;NA;NA;NA;NA;13812,5;250;NA
"161";"T44-C-1";15057,5;NA;3675;11382,5;13495;NA;1562,5;NA;NA;2112,5;NA;11382,5;NA;1562,5
"162";"T45";2575;NA;1112,5;1462,5;2575;NA;NA;NA;NA;1112,5;NA;1462,5;NA;NA
"163";"T45-C-1";12087,5;NA;2437,5;9650;10500;1587,5;NA;NA;NA;2437,5;NA;8062,5;1587,5;NA
"164";"T45-C-2";9650;NA;8000;1650;9262,5;387,5;NA;NA;250;7750;NA;1512,5;137,5;NA
"165";"T45-C-3";10537,5;NA;3525;7012,5;10537,5;NA;NA;NA;NA;3525;NA;7012,5;NA;NA
"166";"T6";1150;NA;NA;1150;1150;NA;NA;NA;NA;NA;NA;1150;NA;NA
"167";"T7";2575;1437,5;1137,5;NA;1825;750;NA;1437,5;750;387,5;NA;NA;NA;NA
"168";"V1";455;NA;NA;455;455;NA;NA;NA;NA;NA;NA;455;NA;NA
