"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"11";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01";6822558758,79189;1456908374,38424;4129897439,87587;1190018497,10983;5709896985,25799;1215349473,68421;27114521,7391304;1565021547,16981;691456849,315068;3417564468,20809;NA;631244931,818182;519088839,662447;35755851,0638298
"12";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01/02";665148593,297476;303096880,131363;326295241,789501;10820809,2485549;674049250,614251;NA;NA;325588867,924528;NA;322056907,514451;NA;10987727,2727273;NA;NA
"13";"NiN-3.0-T-C-PE-NA-MB-TA01-M020-01/03";64212887,8775341;NA;63115502,9738816;NA;65072149,8771499;NA;NA;NA;NA;62295679,1907514;NA;NA;NA;NA
"14";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-01";4003007199,00703;113519430,76081;1436175407,29247;2702497109,82659;2265001926,28993;1631844210,52632;182817608,695652;NA;595378013,69863;785395713,872832;90398406,374502;1616019988,63636;1014706265,82278;105642287,234043
"15";"NiN-3.0-T-C-PE-NA-MB-TA02-M020-02";107829189,077369;NA;65497220,0672356;45988439,3063584;51566609,3366093;59863157,8947368;NA;NA;16833219,1780822;49366387,283237;NA;NA;42001476,7932489;NA
"16";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-01";7584147840,29789;1943906732,34811;4683646664,08068;831038150,289017;5520573862,40786;1407675789,47368;676014326,086957;1435029886,79245;965708835,616438;3602100725,43353;484173864,541833;350233806,818182;443980316,455696;166048005,319149
"17";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-02";3843323074,05875;2061058784,89327;1594083250,58185;24346820,8092486;3216774201,4742;234357894,736842;378165413,043478;1801591735,84906;238254794,520548;1321843789,01734;305727410,358566;24722386,3636364;NA;40631648,9361702
"18";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-03";992755477,865122;469970443,349754;482774054,82286;NA;938512289,92629;NA;56488586,9565217;456068301,886792;NA;458872323,699422;36159362,5498008;NA;NA;20315824,4680851
"19";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-04";33710796884,5676;15084234920,6349;16029194209,9819;1455669364,16185;24667747019,656;1635665263,15789;6623132760,86957;8968936792,45283;1104518150,68493;14212112742,7746;5363156653,38645;885885511,363636;532677552,742616;698593484,042553
"20";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-05";4947542432,76789;3188987848,93268;1477140941,29816;45988439,3063584;4461739484,02948;25473684,2105263;441227217,391304;2934689773,58491;25897260,2739726;1402710632,94798;363943984,063745;46697840,9090909;NA;36568484,0425532
"21";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-06";676294981,381878;375522276,95676;270801233,514352;NA;558638267,813268;NA;105993130,434783;277543169,811321;NA;267283725,433526;93291155,3784861;NA;NA;NA
